shot,match,tournament,round,date,attacker_team,gk_team,attacker,goalkeeper,goal,missed,saved,shot_order,take_first,FT_goals,neutral_stadium,attacker_home,game_data,additional
911,95,CL,last16,4-Nov-1986,Juventus,Real Madrid,Beniamino Vignola,Paco Buyo,1,0,0,2,0,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020336,
912,95,CL,last16,4-Nov-1986,Juventus,Real Madrid,Lionello Manfredonia,Paco Buyo,0,0,1,3,0,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020336,
913,95,CL,last16,4-Nov-1986,Juventus,Real Madrid,Luciano Favero,Paco Buyo,0,1,0,4,0,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020336,
914,96,CL,final,25-May-1988,PSV Eindhoven,Benfica,Ronald Koeman,Silvino Louro,1,0,0,1,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020182,
915,96,CL,final,25-May-1988,PSV Eindhoven,Benfica,Wim Kieft,Silvino Louro,1,0,0,2,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020182,
916,96,CL,final,25-May-1988,PSV Eindhoven,Benfica,Ivan Nielsen,Silvino Louro,1,0,0,3,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020182,
917,96,CL,final,25-May-1988,PSV Eindhoven,Benfica,Gerald Vanenburg,Silvino Louro,1,0,0,4,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020182,
918,96,CL,final,25-May-1988,PSV Eindhoven,Benfica,Soren Lerby,Silvino Louro,1,0,0,5,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020182,
919,96,CL,final,25-May-1988,PSV Eindhoven,Benfica,Anton Janssen,Silvino Louro,1,0,0,6,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020182,
920,96,CL,final,25-May-1988,Benfica,PSV Eindhoven,Elzo,Hans van Breukelen,1,0,0,1,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020182,
921,96,CL,final,25-May-1988,Benfica,PSV Eindhoven,Dito,Hans van Breukelen,1,0,0,2,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020182,
922,96,CL,final,25-May-1988,Benfica,PSV Eindhoven,Redouane Hajry,Hans van Breukelen,1,0,0,3,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020182,
923,96,CL,final,25-May-1988,Benfica,PSV Eindhoven,Pacheco,Hans van Breukelen,1,0,0,4,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020182,
924,96,CL,final,25-May-1988,Benfica,PSV Eindhoven,Carlos Mozer,Hans van Breukelen,1,0,0,5,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020182,
925,96,CL,final,25-May-1988,Benfica,PSV Eindhoven,Antonio Veloso,Hans van Breukelen,0,0,1,6,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020182,
926,97,CL,last16,9-Nov-1988,Red Star Belgrade,Milan,Dragan Stojkovic,Giovanni Galli,1,0,0,1,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020027,
927,97,CL,last16,9-Nov-1988,Red Star Belgrade,Milan,Robert Prosinecki,Giovanni Galli,1,0,0,2,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020027,
928,97,CL,last16,9-Nov-1988,Red Star Belgrade,Milan,Dejan Savicevic,Giovanni Galli,0,1,0,3,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020027,
929,97,CL,last16,9-Nov-1988,Red Star Belgrade,Milan,Mitar Mrkela,Giovanni Galli,0,1,0,4,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020027,
930,97,CL,last16,9-Nov-1988,Milan,Red Star Belgrade,Franco Baresi,Stevan Stojanovic,1,0,0,1,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020027,
931,97,CL,last16,9-Nov-1988,Milan,Red Star Belgrade,Marco van Basten,Stevan Stojanovic,1,0,0,2,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020027,
932,97,CL,last16,9-Nov-1988,Milan,Red Star Belgrade,Alberico Evani,Stevan Stojanovic,1,0,0,3,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020027,
933,97,CL,last16,9-Nov-1988,Milan,Red Star Belgrade,Frank Rijkaard,Stevan Stojanovic,1,0,0,4,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1020027,
934,98,CL,last16,6-Nov-1990,Spartak Moscow,Napoli,Valeriy Karpin,Giovanni Galli,1,0,0,1,1,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081851,
935,98,CL,last16,6-Nov-1990,Spartak Moscow,Napoli,Igor Shalimov,Giovanni Galli,1,0,0,2,1,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081851,
936,98,CL,last16,6-Nov-1990,Spartak Moscow,Napoli,Valeriy Shmarov,Giovanni Galli,1,0,0,3,1,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081851,
937,98,CL,last16,6-Nov-1990,Spartak Moscow,Napoli,Vasiliy Kulkov,Giovanni Galli,1,0,0,4,1,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081851,
938,98,CL,last16,6-Nov-1990,Spartak Moscow,Napoli,Aleksandr Mostovoy,Giovanni Galli,1,0,0,5,1,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081851,
939,98,CL,last16,6-Nov-1990,Napoli,Spartak Moscow,Ciro Ferrara,Stanislav Cherchesov,1,0,0,1,0,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081851,
940,98,CL,last16,6-Nov-1990,Napoli,Spartak Moscow,Massimo Mauro,Stanislav Cherchesov,1,0,0,2,0,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081851,
941,98,CL,last16,6-Nov-1990,Napoli,Spartak Moscow,Marco Baroni,Stanislav Cherchesov,0,1,0,3,0,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081851,
942,98,CL,last16,6-Nov-1990,Napoli,Spartak Moscow,Diego Maradona,Stanislav Cherchesov,1,0,0,4,0,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081851,
943,99,CL,last16,6-Nov-1990,Malmo FF,Dynamo Dresden,Torbjorn Persson,Ronny Teuber,0,0,1,1,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081841,
944,99,CL,last16,6-Nov-1990,Malmo FF,Dynamo Dresden,Bent Skammelsrud,Ronny Teuber,1,0,0,2,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081841,
945,99,CL,last16,6-Nov-1990,Malmo FF,Dynamo Dresden,Per Agren,Ronny Teuber,1,0,0,3,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081841,
946,99,CL,last16,6-Nov-1990,Malmo FF,Dynamo Dresden,Niclas Nyhlen,Ronny Teuber,1,0,0,4,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081841,
947,99,CL,last16,6-Nov-1990,Malmo FF,Dynamo Dresden,Leif Engqvist,Ronny Teuber,1,0,0,5,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081841,
948,99,CL,last16,6-Nov-1990,Dynamo Dresden,Malmo FF,Frank Lieberam,Jonnie Fedel,1,0,0,1,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081841,
949,99,CL,last16,6-Nov-1990,Dynamo Dresden,Malmo FF,Detlef Schosler,Jonnie Fedel,1,0,0,2,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081841,
950,99,CL,last16,6-Nov-1990,Dynamo Dresden,Malmo FF,Andreas Wagenhaus,Jonnie Fedel,1,0,0,3,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081841,
951,99,CL,last16,6-Nov-1990,Dynamo Dresden,Malmo FF,Mario Kern,Jonnie Fedel,1,0,0,4,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081841,
952,99,CL,last16,6-Nov-1990,Dynamo Dresden,Malmo FF,Torsten Gutschow,Jonnie Fedel,1,0,0,5,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081841,
953,100,CL,final,29-May-1991,Red Star Belgrade,Marseille,Robert Prosinecki,Pascal Olmeta,1,0,0,1,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081866,
954,100,CL,final,29-May-1991,Red Star Belgrade,Marseille,Dragisa Binic,Pascal Olmeta,1,0,0,2,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081866,
955,100,CL,final,29-May-1991,Red Star Belgrade,Marseille,Miodrag Belodedici,Pascal Olmeta,1,0,0,3,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081866,
956,100,CL,final,29-May-1991,Red Star Belgrade,Marseille,Sinisa Mihajlovic,Pascal Olmeta,1,0,0,4,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081866,
957,100,CL,final,29-May-1991,Red Star Belgrade,Marseille,Darko Pancev,Pascal Olmeta,1,0,0,5,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081866,
958,100,CL,final,29-May-1991,Marseille,Red Star Belgrade,Manuel Amoros,Stevan Stojanovic,0,1,0,1,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081866,
959,100,CL,final,29-May-1991,Marseille,Red Star Belgrade,Bernard Casoni,Stevan Stojanovic,1,0,0,2,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081866,
960,100,CL,final,29-May-1991,Marseille,Red Star Belgrade,Jean-Pierre Papin,Stevan Stojanovic,1,0,0,3,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081866,
961,100,CL,final,29-May-1991,Marseille,Red Star Belgrade,Carlos Mozer,Stevan Stojanovic,1,0,0,4,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1081866,
962,101,CL,final,26-May-1996,Ajax,Juventus,Edgar Davids,Angelo Peruzzi,0,0,1,1,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1067646,
963,101,CL,final,26-May-1996,Ajax,Juventus,Jari Litmanen,Angelo Peruzzi,1,0,0,2,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1067646,
964,101,CL,final,26-May-1996,Ajax,Juventus,Arnold Scholten,Angelo Peruzzi,1,0,0,3,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1067646,
965,101,CL,final,26-May-1996,Ajax,Juventus,Sonny Silooy,Angelo Peruzzi,0,0,1,4,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1067646,
966,101,CL,final,26-May-1996,Juventus,Ajax,Ciro Ferrara,Edwin Van der Sar,1,0,0,1,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1067646,
967,101,CL,final,26-May-1996,Juventus,Ajax,Gianluca Pessotto,Edwin Van der Sar,1,0,0,2,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1067646,
968,101,CL,final,26-May-1996,Juventus,Ajax,Michele Padovano,Edwin Van der Sar,1,0,0,3,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1067646,
969,101,CL,final,26-May-1996,Juventus,Ajax,Vladimir Jugovic,Edwin Van der Sar,1,0,0,4,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1067646,
970,102,CL,final,23-May-2001,Bayern Munich,Valencia,Paulo Sergio,Santiago Canizares,0,1,0,1,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/990248,
971,102,CL,final,23-May-2001,Bayern Munich,Valencia,Hasan Salihamidzic,Santiago Canizares,1,0,0,2,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/990248,
972,102,CL,final,23-May-2001,Bayern Munich,Valencia,Alexander Zickler,Santiago Canizares,1,0,0,3,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/990248,
973,102,CL,final,23-May-2001,Bayern Munich,Valencia,Patrik Andersson,Santiago Canizares,0,0,1,4,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/990248,
974,102,CL,final,23-May-2001,Bayern Munich,Valencia,Stefan Effenberg,Santiago Canizares,1,0,0,5,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/990248,
975,102,CL,final,23-May-2001,Bayern Munich,Valencia,Bixente Lizarazu,Santiago Canizares,1,0,0,6,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/990248,
976,102,CL,final,23-May-2001,Bayern Munich,Valencia,Thomas Linke,Santiago Canizares,1,0,0,7,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/990248,
977,102,CL,final,23-May-2001,Valencia,Bayern Munich,Gaizka Mendieta,Oliver Kahn,1,0,0,1,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/990248,
978,102,CL,final,23-May-2001,Valencia,Bayern Munich,John Carew,Oliver Kahn,1,0,0,2,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/990248,
979,102,CL,final,23-May-2001,Valencia,Bayern Munich,Zlatko Zahovic,Oliver Kahn,0,0,1,3,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/990248,
980,102,CL,final,23-May-2001,Valencia,Bayern Munich,Amedeo Carboni,Oliver Kahn,0,0,1,4,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/990248,
981,102,CL,final,23-May-2001,Valencia,Bayern Munich,Ruben Baraja,Oliver Kahn,1,0,0,5,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/990248,
982,102,CL,final,23-May-2001,Valencia,Bayern Munich,Kily Gonzalez,Oliver Kahn,1,0,0,6,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/990248,
983,102,CL,final,23-May-2001,Valencia,Bayern Munich,Mauricio Pellegrino,Oliver Kahn,0,0,1,7,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/990248,
984,103,CL,final,23-May-2001,Juventus,Milan,David Trezeguet,Dida,0,0,1,1,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/985129,
985,103,CL,final,23-May-2001,Juventus,Milan,Alessandro Birindelli,Dida,1,0,0,2,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/985129,
986,103,CL,final,23-May-2001,Juventus,Milan,Marcelo Zalayeta,Dida,0,0,1,3,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/985129,
987,103,CL,final,23-May-2001,Juventus,Milan,Paolo Montero,Dida,0,0,1,4,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/985129,
988,103,CL,final,23-May-2001,Juventus,Milan,Alessandro Del Pierro,Dida,1,0,0,5,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/985129,
989,103,CL,final,23-May-2001,Milan,Juventus,Serginho,Gianluigi Buffon,1,0,0,1,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/985129,
990,103,CL,final,23-May-2001,Milan,Juventus,Clarence Seedorf,Gianluigi Buffon,0,0,1,2,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/985129,
991,103,CL,final,23-May-2001,Milan,Juventus,Kakhaber Kaladze,Gianluigi Buffon,0,0,1,3,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/985129,
992,103,CL,final,23-May-2001,Milan,Juventus,Alessandro Nesta,Gianluigi Buffon,1,0,0,4,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/985129,
993,103,CL,final,23-May-2001,Milan,Juventus,Andriy Shevchenko,Gianluigi Buffon,1,0,0,5,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/985129,
994,104,CL,quarter,13-Apr-2005,PSV Eindhoven,Olympique Lyon,Mark van Bommel,Gregory Coupet,1,0,0,1,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/31092,
995,104,CL,quarter,13-Apr-2005,PSV Eindhoven,Olympique Lyon,Andre Ooijer,Gregory Coupet,1,0,0,2,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/31092,
996,104,CL,quarter,13-Apr-2005,PSV Eindhoven,Olympique Lyon,Wilfred Bouma,Gregory Coupet,1,0,0,3,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/31092,
997,104,CL,quarter,13-Apr-2005,PSV Eindhoven,Olympique Lyon,DaMarcus Beasley,Gregory Coupet,0,0,1,4,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/31092,
998,104,CL,quarter,13-Apr-2005,PSV Eindhoven,Olympique Lyon,Robert,Gregory Coupet,1,0,0,5,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/31092,
999,104,CL,quarter,13-Apr-2005,Olympique Lyon,PSV Eindhoven,Juninho Pernambucano,Heurelho Gomes,1,0,0,1,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/31092,
1000,104,CL,quarter,13-Apr-2005,Olympique Lyon,PSV Eindhoven,Michael Essien,Heurelho Gomes,0,0,1,2,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/31092,
1001,104,CL,quarter,13-Apr-2005,Olympique Lyon,PSV Eindhoven,Hatem Ben Arfa,Heurelho Gomes,1,0,0,3,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/31092,
1002,104,CL,quarter,13-Apr-2005,Olympique Lyon,PSV Eindhoven,Eric Abidal,Heurelho Gomes,0,0,1,4,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/31092,
1003,105,CL,final,13-Apr-2005,Milan,Liverpool,Serginho,Jerzy Dudek,0,1,0,1,1,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/31195,
1004,105,CL,final,13-Apr-2005,Milan,Liverpool,Andrea Pirlo,Jerzy Dudek,0,0,1,2,1,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/31195,
1005,105,CL,final,13-Apr-2005,Milan,Liverpool,Jon Dahl Tomasson,Jerzy Dudek,1,0,0,3,1,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/31195,
1006,105,CL,final,13-Apr-2005,Milan,Liverpool,Kaka,Jerzy Dudek,1,0,0,4,1,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/31195,
1007,105,CL,final,13-Apr-2005,Milan,Liverpool,Andriy Shevchenko,Jerzy Dudek,0,0,1,5,1,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/31195,
1008,105,CL,final,13-Apr-2005,Liverpool,Milan,Dietmar Hamann,Dida,1,0,0,1,0,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/31195,
1009,105,CL,final,13-Apr-2005,Liverpool,Milan,Djibril Cisse,Dida,1,0,0,2,0,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/31195,
1010,105,CL,final,13-Apr-2005,Liverpool,Milan,John Arne Riise,Dida,0,0,1,3,0,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/31195,
1011,105,CL,final,13-Apr-2005,Liverpool,Milan,Vladimir Smicer,Dida,1,0,0,4,0,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/31195,
1012,106,CL,semi,1-May-2007,Liverpool,Chelsea,Boudewijn Zenden,Petr Cech,1,0,0,1,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/68029,
1013,106,CL,semi,1-May-2007,Liverpool,Chelsea,Xabi Alonso,Petr Cech,1,0,0,2,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/68029,
1014,106,CL,semi,1-May-2007,Liverpool,Chelsea,Steven Gerrard,Petr Cech,1,0,0,3,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/68029,
1015,106,CL,semi,1-May-2007,Liverpool,Chelsea,Dirk Kuyt,Petr Cech,1,0,0,4,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/68029,
1016,106,CL,semi,1-May-2007,Chelsea,Liverpool,Arjen Robben,Pepe Reina,0,0,1,1,0,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/68029,
1017,106,CL,semi,1-May-2007,Chelsea,Liverpool,Frank Lampard,Pepe Reina,1,0,0,2,0,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/68029,
1018,106,CL,semi,1-May-2007,Chelsea,Liverpool,Njitap Geremi,Pepe Reina,0,0,1,3,0,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/68029,
1019,107,CL,last16,4-Mar-2008,Sevilla,Fenerbahce,Frederic Kanoute,Volkan Demirel,1,0,0,1,1,3,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/88403,
1020,107,CL,last16,4-Mar-2008,Sevilla,Fenerbahce,Julien Escude,Volkan Demirel,0,0,1,2,1,3,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/88403,
1021,107,CL,last16,4-Mar-2008,Sevilla,Fenerbahce,Ivica Dragutinovic,Volkan Demirel,1,0,0,3,1,3,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/88403,
1022,107,CL,last16,4-Mar-2008,Sevilla,Fenerbahce,Enzo Maresca,Volkan Demirel,0,0,1,4,1,3,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/88403,
1023,107,CL,last16,4-Mar-2008,Sevilla,Fenerbahce,Dani Alves,Volkan Demirel,0,0,1,5,1,3,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/88403,
1024,107,CL,last16,4-Mar-2008,Fenerbahce,Sevilla,Wederson,Andres Palop,1,0,0,1,0,2,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/88403,
1025,107,CL,last16,4-Mar-2008,Fenerbahce,Sevilla,Edu Dracena,Andres Palop,0,0,1,2,0,2,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/88403,
1026,107,CL,last16,4-Mar-2008,Fenerbahce,Sevilla,Mehmet Aurelio,Andres Palop,1,0,0,3,0,2,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/88403,
1027,107,CL,last16,4-Mar-2008,Fenerbahce,Sevilla,Mateja Kezman,Andres Palop,1,0,0,4,0,2,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/88403,
1028,108,CL,last16,5-Mar-2008,Schalke,Porto,Rafinha,Helton,1,0,0,1,1,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/88396,
1029,108,CL,last16,5-Mar-2008,Schalke,Porto,Ivan Rakitic,Helton,1,0,0,2,1,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/88396,
1030,108,CL,last16,5-Mar-2008,Schalke,Porto,Halil Altintop,Helton,1,0,0,3,1,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/88396,
1031,108,CL,last16,5-Mar-2008,Schalke,Porto,Jermaine Jones,Helton,1,0,0,4,1,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/88396,
1032,108,CL,last16,5-Mar-2008,Porto,Schalke,Lucho Gonzalez,Manuel Neuer,1,0,0,1,0,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/88396,
1033,108,CL,last16,5-Mar-2008,Porto,Schalke,Bruno Alvez,Manuel Neuer,0,0,1,2,0,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/88396,
1034,108,CL,last16,5-Mar-2008,Porto,Schalke,Lisandro Lopez,Manuel Neuer,0,0,1,3,0,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/88396,
1035,109,CL,final,21-May-2008,Manchester United,Chelsea,Carlos Tevez,Petr Cech,1,0,0,1,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/909764,
1036,109,CL,final,21-May-2008,Manchester United,Chelsea,Michael Carrick,Petr Cech,1,0,0,2,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/909764,
1037,109,CL,final,21-May-2008,Manchester United,Chelsea,Cristiano Ronaldo,Petr Cech,0,0,1,3,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/909764,
1038,109,CL,final,21-May-2008,Manchester United,Chelsea,Owen Hargreaves,Petr Cech,1,0,0,4,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/909764,
1039,109,CL,final,21-May-2008,Manchester United,Chelsea,Nani,Petr Cech,1,0,0,5,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/909764,
1040,109,CL,final,21-May-2008,Manchester United,Chelsea,Anderson,Petr Cech,1,0,0,6,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/909764,
1041,109,CL,final,21-May-2008,Manchester United,Chelsea,Ryan Giggs,Petr Cech,1,0,0,7,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/909764,
1042,109,CL,final,21-May-2008,Chelsea,Manchester United,Michael Ballack,Edwin van der Sar,1,0,0,1,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/909764,
1043,109,CL,final,21-May-2008,Chelsea,Manchester United,Juliano Belletti,Edwin van der Sar,1,0,0,2,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/909764,
1044,109,CL,final,21-May-2008,Chelsea,Manchester United,Frank Lampard,Edwin van der Sar,1,0,0,3,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/909764,
1045,109,CL,final,21-May-2008,Chelsea,Manchester United,Ashley Cole,Edwin van der Sar,1,0,0,4,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/909764,
1046,109,CL,final,21-May-2008,Chelsea,Manchester United,John Terry,Edwin van der Sar,0,1,0,5,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/909764,
1047,109,CL,final,21-May-2008,Chelsea,Manchester United,Salomon Kalou,Edwin van der Sar,1,0,0,6,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/909764,
1048,109,CL,final,21-May-2008,Chelsea,Manchester United,Nicolas Anelka,Edwin van der Sar,0,0,1,7,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/909764,
1049,110,CL,last16,11-Mar-2009,Arsenal,AS Roma,Eduardo,Doni,0,0,1,1,1,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/933248,
1050,110,CL,last16,11-Mar-2009,Arsenal,AS Roma,Robin van Persie,Doni,1,0,0,2,1,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/933248,
1051,110,CL,last16,11-Mar-2009,Arsenal,AS Roma,Theo Walcott,Doni,1,0,0,3,1,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/933248,
1052,110,CL,last16,11-Mar-2009,Arsenal,AS Roma,Samir Nasri,Doni,1,0,0,4,1,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/933248,
1053,110,CL,last16,11-Mar-2009,Arsenal,AS Roma,Denilson,Doni,1,0,0,5,1,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/933248,
1054,110,CL,last16,11-Mar-2009,Arsenal,AS Roma,Kolo Toure,Doni,1,0,0,6,1,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/933248,
